owner_acronym,source_year,total_entries,total_source_scraper,total_source_csv,error_entries,error_source_scraper,error_source_csv,total_non_duplicate_entries,total_duplicate_entries
ijc,2019,30,0,30,0,0,0,30,0
ijc,2020,27,0,27,0,0,0,27,0
inac,2013,1210,1210,0,0,0,0,1180,30
inac,2014,1502,1502,0,69,69,0,1485,17
inac,2015,1072,1072,0,52,52,0,1034,38
inac,2016,1037,694,343,44,6,38,1018,19
inac,2017,1386,273,1113,65,14,51,1100,286
inac,2018,513,0,513,0,0,0,458,55
inac,2019,663,0,663,0,0,0,651,12
inac,2020,329,0,329,0,0,0,323,6
inac,,187,0,187,187,0,187,187,0
infra,2006,55,55,0,0,0,0,55,0
infra,2007,108,108,0,0,0,0,107,1
infra,2008,71,71,0,0,0,0,71,0
infra,2009,114,114,0,0,0,0,108,6
infra,2010,110,110,0,0,0,0,106,4
infra,2011,84,84,0,0,0,0,83,1
infra,2012,64,64,0,0,0,0,64,0
infra,2013,48,48,0,0,0,0,48,0
infra,2014,87,87,0,0,0,0,85,2
infra,2015,92,92,0,0,0,0,90,2
infra,2016,146,117,29,0,0,0,143,3
infra,2017,123,0,123,0,0,0,121,2
infra,2018,148,0,148,0,0,0,146,2
infra,2019,133,0,133,0,0,0,132,1
infra,2020,64,0,64,0,0,0,64,0
irb,2019,504,0,504,0,0,0,492,12
irb,2020,274,0,274,0,0,0,273,1
ircc,2010,1638,782,856,568,568,0,1629,9
ircc,2011,1541,942,599,661,661,0,1534,7
ircc,2012,1639,1074,565,214,214,0,1162,477
ircc,2013,1518,887,631,0,0,0,910,608
ircc,2014,1345,738,607,0,0,0,740,605
ircc,2015,1712,861,851,0,0,0,829,883
ircc,2016,1447,607,840,0,0,0,765,682
ircc,2017,848,0,848,0,0,0,810,38
ircc,2018,993,0,993,0,0,0,941,52
ircc,2019,1113,0,1113,0,0,0,1053,60
ircc,2020,757,0,757,0,0,0,744,13
ircc,,5,0,5,5,0,5,5,0
isc,2017,208,0,208,1,0,1,193,15
isc,2018,591,0,591,12,0,12,527,64
isc,2019,633,0,633,0,0,0,578,55
isc,2020,729,0,729,0,0,0,709,20
just,2003,2,2,0,0,0,0,2,0
just,2004,744,744,0,3,3,0,720,24
just,2005,783,783,0,1,1,0,756,27
just,2006,594,594,0,0,0,0,582,12
just,2007,640,640,0,0,0,0,627,13
just,2008,760,760,0,0,0,0,731,29
just,2009,835,835,0,0,0,0,810,25
just,2010,647,647,0,0,0,0,631,16
just,2011,683,683,0,0,0,0,663,20
just,2012,478,478,0,1,1,0,475,3
just,2013,540,540,0,0,0,0,529,11
just,2014,428,428,0,0,0,0,416,12
just,2015,556,556,0,0,0,0,546,10
just,2016,445,218,227,2,0,2,439,6
just,2017,393,0,393,1,0,1,388,5
just,2018,518,0,518,12,0,12,514,4
just,2019,520,0,520,15,0,15,515,5
just,2020,249,0,249,0,0,0,246,3
just,,2,0,2,2,0,2,2,0
